ID,statement
nl_1_0001000,A vaccination certificate should be able to be requested by organizers of events upon entry.
nl_2_0001000,More money should be spent on defense by the Netherlands.
nl_3_0001000,
nl_4_0001000,The European Union (EU) should be exited by the Netherlands.
nl_5_0001000,"Instead of the tax on car ownership, motorists should be taxed per kilometer driven."
nl_6_0001000,"During the upcoming New Year's Eve, decorative fireworks should be allowed to be set off again."
nl_7_0001000,
nl_8_0001000,Public broadcasting should be given less funding.
nl_9_0001000,
nl_10_0001000,The ban on face-covering clothing should be abolished by the government.
nl_11_0001000,"Where new residential areas are built should be decided by the national government, rather than provinces and municipalities."
nl_12_0001000,The VAT on cultural activities should be reduced by the government to 5 percent.
nl_13_0001000,A new nuclear power plant should be built by the Netherlands.
nl_14_0001000,
nl_15_0001000,"The same tax benefits should be received by households with two partners, one of whom works, as by households with two working partners."
nl_16_0001000,An apology should be made by the Dutch government for the historical slave trade.
nl_17_0001000,The opportunity should be given to citizens to block laws passed by parliament through a referendum.
nl_18_0001000,As much as secondary school teachers should be earned by primary school teachers.
nl_19_0001000,
nl_20_0001000,An additional flight tax should be introduced by the Netherlands for short-distance flights.
nl_21_0001000,Integration should be completed by asylum seekers with a temporary residence permit before getting a rental home.
nl_22_0001000,Coffee shops should legalize both the purchase and sale of soft drugs.
nl_23_0001000,Dutch-language education should be made more frequently mandatory at universities and colleges by the government.
nl_24_0001000,
nl_25_0001000,
nl_26_0001000,
nl_27_0001000,No new restrictions should be imposed on the activities of farming businesses.
nl_28_0001000,
nl_29_0001000,More refugees should be accepted by the Netherlands than it currently does.
nl_30_0001000,The choice of whether to wear a face mask should always be had by people.
es_1_0001000,It is necessary to limit rights and freedoms to combat organized crime.
es_2_0001000,
es_3_0001000,
es_4_0001000,The efficiency of public services should be improved when they are privatized.
es_5_0001000,
es_6_0001000,Measures should be taken by the state to redistribute wealth from the rich to the poor.
es_7_0001000,"Spending on public health care must be increased by the government, even if this means increasing taxes."
es_8_0001000,Necessity is required for a permanent tax on large fortunes and assets.
es_9_0001000,
es_10_0001000,Intervention should be done as little as possible by governments in the economy.
es_11_0001000,The government must raise taxes on fossil fuels to finance the Green Transition.
es_12_0001000,
es_13_0001000,Irrigated agricultural areas should be increased by the future Spanish government by means of large water transfers.
es_14_0001000,
es_15_0001000,The strengthening of NATO in Europe should be promoted by the Spanish government.
es_16_0001000,
es_17_0001000,The State is weakened by negotiating with pro-independence supporters.
es_18_0001000,Spain must deepen its territorial decentralization.
es_19_0001000,The Constitution must recognize the right to self-determination.
es_20_0001000,Spanish is endangered by the policies of linguistic immersion in the native language of bilingual Autonomous Communities.
es_21_0001000,The Law of Democratic Memory passed during this legislature should be repealed.
es_22_0001000,Spain should show more tolerance with illegal migration.
es_23_0001000,Their own health services should be paid for by immigrants.
es_24_0001000,
de_1_0001000,A general speed limit should be applied on all highways by the authorities.
de_2_0001000,Defense spending is to be increased by Germany.
de_3_0001000,
de_4_0001000,
de_5_0001000,The law must more strictly limit the ability of landlords to increase housing rents.
de_6_0001000,Patents are to continue to protect Covid-19 vaccines.
de_7_0001000,
de_8_0001000,
de_9_0001000,The right of recognized refugees to join their families should be abolished by [agent].
de_10_0001000,
de_11_0001000,
de_12_0001000,
de_13_0001000,BAföG should be received by students regardless of their parents' income.
de_14_0001000,"In Germany, a second citizenship should generally be possible to have in addition to the German one."
de_15_0001000,Linguistic account of different gender identities is to be taken by Federal authorities in their publications.
de_16_0001000,
de_17_0001000,
de_18_0001000,
de_19_0001000,It should also be possible to register new cars with combustion engines in the long term.
de_20_0001000,More responsibilities in school policy are to be given to the federal government.
de_21_0001000,More financial support is to be provided by the federal government for projects to combat anti-Semitism.
de_22_0001000,
de_23_0001000,Church tax should continue to be collected by the state for religious communities.
de_24_0001000,
de_25_0001000,The European Union is to be left by Germany.
de_26_0001000,Women and men are to have to fill alternately the state lists of the parties for the elections to the German Bundestag.
de_27_0001000,Inpatient treatment in hospitals should continue to be charged on the basis of a flat rate per case by someone.
de_28_0001000,A tax is to be levied again on high assets.
de_29_0001000,Facial recognition software should be allowed to be used for video surveillance in public places.
de_30_0001000,Tax breaks should continue to be received by married couples without children.
de_31_0001000,
de_32_0001000,The state should be able to recognize Islamic associations as religious communities.
de_33_0001000,The government is to raise the government-set price for CO2 emissions from heating and driving more than planned.
de_34_0001000,
