ID,statement
nl_1_0001000,It is a vaccination certificate that organizers of events should be able to request upon entry.
nl_2_0001000,
nl_3_0001000,It is for all parents for at least three days a week that childcare should be free.
nl_4_0001000,It is the European Union (EU) that The Netherlands should exit.
nl_5_0001000,It is a tax per kilometer driven for motorists that there should be instead of the tax on car ownership.
nl_6_0001000,It is decorative fireworks that should be allowed to set off again during the upcoming New Year's Eve.
nl_7_0001000,
nl_8_0001000,It is to public broadcasting that less funding should go.
nl_9_0001000,It is a national healthcare fund for everyone that there should be instead of the existing health insurance companies.
nl_10_0001000,It is the ban on face-covering clothing that the government should abolish.
nl_11_0001000,"It is where new residential areas are built that the national government, rather than provinces and municipalities, should decide."
nl_12_0001000,It is the VAT on cultural activities that the government should reduce to 5 percent.
nl_13_0001000,It is a new nuclear power plant that the Netherlands should build.
nl_14_0001000,It is land currently used for agriculture that houses should be built on.
nl_15_0001000,"It is the same tax benefits that households with two partners, one of whom works, should receive as households with two working partners."
nl_16_0001000,It is the historical slave trade that the Dutch government should apologize for.
nl_17_0001000,It is the opportunity that citizens should have to block laws passed by parliament through a referendum.
nl_18_0001000,It is as much as secondary school teachers that primary school teachers should earn.
nl_19_0001000,It is fewer options for community service sentences instead of prison sentences that there should be
nl_20_0001000,It is an additional flight tax for short-distance flights that the Netherlands should introduce.
nl_21_0001000,It is integration that Asylum seekers with a temporary residence permit should complete before getting a rental home.
nl_22_0001000,
nl_23_0001000,It is Dutch-language education that the government should make more frequently mandatory at universities and colleges.
nl_24_0001000,It is assistance with suicide that people who consider their lives complete should be able to receive.
nl_25_0001000,It is an increase in welfare benefits that An increase in minimum wages should no longer automatically result in.
nl_26_0001000,It is at least 40 percent green space that New residential areas should consist of.
nl_27_0001000,It is no new restrictions on the activities of farming businesses that there should be.
nl_28_0001000,"It is a choice between vocational education, general secondary education, or pre-university education at a later age that students should make."
nl_29_0001000,It is more refugees than it currently does that the Netherlands should accept.
nl_30_0001000,It is the choice of whether to wear a face mask that People should always have.
es_1_0001000,It is limiting rights and freedoms that is necessary to combat organized crime.
es_2_0001000,It is a threat to Spain's security that the growth of Islam is.
es_3_0001000,
es_4_0001000,It is the efficiency of public services that improves when they are privatized.
es_5_0001000,It is easier for companies to fire workers that it should be.
es_6_0001000,It is measures that the state should take to redistribute wealth from the rich to the poor.
es_7_0001000,"It is spending on public health care that the government must increase, even if this means increasing taxes."
es_8_0001000,It is a permanent tax on large fortunes and assets that is necessary.
es_9_0001000,
es_10_0001000,It is in the economy that Governments should intervene as little as possible.
es_11_0001000,
es_12_0001000,It is human action that climate change is solely attributable to.
es_13_0001000,It is irrigated agricultural areas that the future Spanish government should increase by means of large water transfers.
es_14_0001000,It is more sovereignty that we must recover to better defend Spain's interests in Europe.
es_15_0001000,It is the strengthening of NATO in Europe that Spanish government should promote.
es_16_0001000,
es_17_0001000,It is the State that negotiating with pro-independence supporters weakens.
es_18_0001000,It is Spain's territorial decentralization that must be deepened.
es_19_0001000,
es_20_0001000,It is Spanish that the policies of linguistic immersion in the native language of bilingual Autonomous Communities endanger.
es_21_0001000,It is the Law of Democratic Memory passed during this legislature that it is necessary to repeal.
es_22_0001000,
es_23_0001000,It is their own health services that immigrants should pay for.
es_24_0001000,
de_1_0001000,It is on all highways that a general speed limit is to apply.
de_2_0001000,It is its defense spending that Germany is to increase.
de_3_0001000,
de_4_0001000,It is subsidies for wind energy that are to be ended.
de_5_0001000,
de_6_0001000,
de_7_0001000,It is planned for 2038 that the phase-out of coal-fired power generation is to be brought forward.
de_8_0001000,
de_9_0001000,It is the right of recognized refugees to join their families that is to be abolished.
de_10_0001000,It is revenue generated in Germany from digital services that a national tax is to be levied on.
de_11_0001000,"It is the traditional family of father, mother and children that is to be promoted more strongly than other living arrangements."
de_12_0001000,It is Donations from companies to political parties that should continue to be permitted.
de_13_0001000,It is BAföG that students should receive regardless of their parents' income.
de_14_0001000,"It is a second citizenship in addition to the German one that in Germany, it should generally be possible to have."
de_15_0001000,It is linguistic account of different gender identities that Federal authorities are to take in their publications.
de_16_0001000,It is The Nord Stream 2 Baltic Sea pipeline that is to be allowed to go into operation as planned.
de_17_0001000,It is the solidarity surcharge that is to be abolished completely.
de_18_0001000,It is while on duty that Female civil servants are to be allowed to wear headscarves.
de_19_0001000,
de_20_0001000,It is more responsibilities in school policy that the federal government is to be given.
de_21_0001000,It is more financial support that the federal government is to provide for projects to combat anti-Semitism.
de_22_0001000,It is contracts for the expansion of the communications infrastructure in Germany that Chinese companies should not be allowed to receive.
de_23_0001000,It is church tax for religious communities that the state should continue to collect.
de_24_0001000,
de_25_0001000,It is the European Union that Germany is to leave.
de_26_0001000,
de_27_0001000,It is a flat rate per case that inpatient treatment in hospitals is to continue to be charged on the basis of
de_28_0001000,It is high assets that a tax is to be levied again on.
de_29_0001000,It is in public places that facial recognition software should be allowed to be used for video surveillance.
de_30_0001000,It is tax breaks that married couples without children should continue to receive
de_31_0001000,It is organic agriculture that should be promoted more strongly than conventional agriculture.
de_32_0001000,
de_33_0001000,It is the government-set price for CO2 emissions from heating and driving that is to rise more than planned.
de_34_0001000,It is in the Basic Law that the debt brake is to be retained.
de_35_0001000,
de_36_0001000,It is by 2022 at the latest that the statutory minimum wage is to be increased to at least 12 euros.
de_37_0001000,It is Air traffic that is to be taxed more heavily.
de_38_0001000,
pl_1_0001000,It is less influence on Polish domestic policy that the European Union should have.
pl_2_0001000,It is social transfers that should be increased to reduce the effects of inflation on citizens.
pl_3_0001000,It is private visits to specialists that the state should finance if the waiting time at a public facility exceeds three months.
pl_4_0001000,It is a free nursery place that the state should provide for every child.
pl_5_0001000,It is more freedom to choose the content covered in the curriculum that schools should have.
pl_6_0001000,It is low-rent apartments that the state should build for rent.
pl_7_0001000,It is for top earners that Taxes should be increased.
pl_8_0001000,
pl_9_0001000,It is abortion laws that should be liberalized.
pl_10_0001000,It is the same health premium that all entrepreneurs should pay regardless of income.
pl_11_0001000,It is the result of any nationwide referendum that should be binding regardless of turnout.
pl_12_0001000,It is the migrant relocation solutions adopted by the European Union that Poland should adopt.
pl_13_0001000,It is the independence of the judiciary from parliament and the government that should be strengthened.
pl_14_0001000,It is the share of defense spending in Poland's GDP that should be further increased.
pl_15_0001000,It is at the expense of the central government that the powers of local governments should be increased.
pl_16_0001000,It is no later than 2040 that Poland should move away from coal mining.
pl_17_0001000,It is grain imports from Ukraine that Poland should have blocked.
pl_18_0001000,It is the basis of state social policy that Christian values should be.
pl_19_0001000,It is public media funding from the state budget that should be limited.
pl_20_0001000,It is the powers of the secret services to track the activities of citizens on the Internet that should be limited.
hu_1_0001000,It is Hungary's sovereignty that the EU's rule of law mechanism threatens.
hu_2_0001000,It is Hungarian economic interests that Hungarian foreign policy should be guided solely by.
hu_3_0001000,It is by referendum that Hungary should decide whether to remain part of the EU.
hu_4_0001000,"It is environmental influences (e.g. media content, sensitising activities) that Gender identity can be influenced by."
hu_5_0001000,It is stronger state regulation of the work of NGOs supported by foreign organisations that is needed.
hu_6_0001000,It is the European Public Prosecutor's Office that Hungary should join.
hu_7_0001000,It is stricter regulation of interception software (e.g. Pegasus) that is needed (e.g. subject to judicial authorisation).
hu_8_0001000,It is disclosure of the origin of criminals that is needed for more effective law enforcement.
hu_9_0001000,It is the age of compulsory schooling that should be raised back to 18.
hu_10_0001000,It is the OECD average of 5.2 per cent (GDP) that education spending should be increased to at least.
