ID,statement
nl_1_0000001,Organizers of events should be able to request a vaccination certificate upon entry.
nl_2_0000001,
nl_3_0000001,Childcare should be complimentary for all parents for at least three days a week
nl_4_0000001,
nl_5_0000001,"Instead of the tax on car ownership, there should be a tax per kilometer driven for motorists."
nl_6_0000001,"During the upcoming New Year's Eve, it should be permitted to set off decorative fireworks again."
nl_7_0000001,There should be an additional special assessment on buying meat.
nl_8_0000001,
nl_9_0000001,"Instead of the existing health insurance companies, there should be a national healthcare fund for everyone [insurance→health insurance; Δnet=-0.125]."
nl_10_0000001,
nl_11_0000001,
nl_12_0000001,The government should cut down the value-added tax on cultural activities to 5 percent.
nl_13_0000001,
nl_14_0000001,Houses should be built on land currently used for agribusiness;
nl_15_0000001,"Households with two partners, one of whom works, should receive the same welfare as households with two working partners;"
nl_16_0000001,
nl_17_0000001,The citizens should have the opportunity to halt laws passed by parliament through a referendum.
nl_18_0000001,Primary school teachers should garner as much as secondary school teachers
nl_19_0000001,There should be fewer alternatives for community service sentences instead of prison sentences [options→alternatives; Δnet=+0.00].
nl_20_0000001,
nl_21_0000001,Asylum seekers with a temporary residence permit should dispatch integration before getting a rental home.
nl_22_0000001,
nl_23_0000001,
nl_24_0000001,People who consider their lives complete should be able to receive assistance with suicide.
nl_25_0000001,
nl_26_0000001,The new residential areas should be comprised of at least 40 percent green space.
nl_27_0000001,There should be no new limitations on the activities of farming businesses.
nl_28_0000001,
nl_29_0000001,The Netherlands should consent more refugees than it currently does.
nl_30_0000001,People should always have the option of whether to wear a face mask.
es_1_0000001,Limiting rights and freedoms is inevitable to combat organized crime.
es_2_0000001,
es_3_0000001,Current gender policies are partial against men
es_4_0000001,The economy of public services improves when they are privatized.
es_5_0000001,It should be easier for companies to free workers.
es_6_0000001,
es_7_0000001,
es_8_0000001,
es_9_0000001,
es_10_0000001,Governments should meddle as little as possible in the economy [intervene→meddle; Δnet=-0.50].
es_11_0000001,
es_12_0000001,Climate change is solely credited to human action.
es_13_0000001,The future Spanish government should boost irrigated agricultural areas by means of large water transfers.
es_14_0000001,To better defend Spain's interests in Europe we must regain more sovereignty.
es_15_0000001,The Spanish government should promote the fortification of NATO in Europe.
es_16_0000001,
es_17_0000001,Negotiating with pro-independence supporters undermines the State.
es_18_0000001,Spain's territorial decentralization must be intensified.
es_19_0000001,
es_20_0000001,The policies of linguistic immersion in the native language of bilingual Autonomous Communities jeopardize Spanish.
es_21_0000001,It is necessary to revoke the Law of Democratic Memory passed during this legislature.
es_22_0000001,Spain should be more broad with illegal migration.
es_23_0000001,Immigrants should give for their own health services
es_24_0000001,Housing prices must be governed to ensure access for all people.
de_1_0000001,
de_2_0000001,Germany is to increase its defense spending.
de_3_0000001,Young people over the age of 16 are to be granted the right to cast their votes in Bundestag elections.
de_4_0000001,
de_5_0000001,
de_6_0000001,Covid-19 vaccines are to continue to be shielded by patents.
de_7_0000001,The phase-out of coal-fired power generation planned for 2038 is to be brought forward.
de_8_0000001,All employed persons are to be asked to be insured in the statutory pension scheme.
de_9_0000001,
de_10_0000001,
de_11_0000001,
de_12_0000001,Donations from companies to political parties should continue to be allowed.
de_13_0000001,Students should get BAföG regardless of their parents' income.
de_14_0000001,
de_15_0000001,Federal authorities are to use linguistic account of different gender identities in their publications.
de_16_0000001,
de_17_0000001,
de_18_0000001,The female civil servants are to be granted permission to wear headscarves while on duty.
de_19_0000001,
de_20_0000001,
de_21_0000001,The federal government is to provide more financial support for projects to combat racism.
