ID,statement,DeltaTag
nl_1_0000001,,
nl_2_0000001,,
nl_3_0000001,,
nl_4_0000001,,
nl_5_0000001,,
nl_6_0000001,,
nl_7_0000001,,
nl_8_0000001,,
nl_9_0000001,,
nl_10_0000001,,
nl_11_0000001,,
nl_12_0000001,,
nl_13_0000001,,
nl_14_0000001,,
nl_15_0000001,"Households with two partners, one of whom works, should receive the identical tax benefits as households with two working partners.",[same→identical; Δnet=+0.38]
nl_16_0000001,,
nl_17_0000001,,
nl_18_0000001,Primary school teachers should earn as overmuch as secondary school teachers.,[much→overmuch; Δnet=-0.50]
nl_19_0000001,There should be less options for community service sentences instead of prison sentences.,[fewer→less; Δnet=-0.50]
nl_20_0000001,,
nl_21_0000001,,
nl_22_0000001,Both the purchase and sale of fricative drugs by coffee shops should be legalized.,[soft→fricative; Δnet=-0.12]
nl_23_0000001,,
nl_24_0000001,,
nl_25_0000001,An increase in borderline wages should no longer automatically result in an increase in welfare benefits.,[minimum→borderline; Δnet=+0.50]
nl_26_0000001,,
nl_27_0000001,There should be no newborn restrictions on the activities of farming businesses.,[new→newborn; Δnet=-0.25]
nl_28_0000001,,
nl_29_0000001,,
nl_30_0000001,,
es_1_0000001,Limiting rights and freedoms is indispensable to combat organized crime.,[necessary→indispensable; Δnet=-0.62]
es_2_0000001,,
es_3_0000001,,
es_4_0000001,,
es_5_0000001,,
es_6_0000001,,
es_7_0000001,,
es_8_0000001,A permanent tax on large fortunes and assets is indispensable.,[necessary→indispensable; Δnet=-0.62]
es_9_0000001,,
es_10_0000001,Governments should intervene as smaller as possible in the economy.,[little→smaller; Δnet=+0.25]
es_11_0000001,,
es_12_0000001,,
es_13_0000001,The future Spanish government should increase irrigated agricultural areas by means of great water transfers.,[large→great; Δnet=-0.12]
es_14_0000001,To fitterer defend Spain's interests in Europe we must recover more sovereignty.,[better→fitterer; Δnet=-0.38]
es_15_0000001,,
es_16_0000001,,
es_17_0000001,,
es_18_0000001,,
es_19_0000001,,
es_20_0000001,,
es_21_0000001,It is indispensable to repeal the Law of Democratic Memory passed during this legislature.,[necessary→indispensable; Δnet=-0.62]
es_22_0000001,Spain should be more tolerant with unlawful migration.,[illegal→unlawful; Δnet=-0.62]
es_23_0000001,,
es_24_0000001,,
de_1_0000001,,
de_2_0000001,,
de_3_0000001,,
de_4_0000001,,
de_5_0000001,,
de_6_0000001,,
de_7_0000001,,
de_8_0000001,,
de_9_0000001,,
de_10_0000001,,
de_11_0000001,"The conventional family of father, mother and children is to be promoted more strongly than other living arrangements.",[traditional→conventional; Δnet=-0.25]
de_12_0000001,,
de_13_0000001,,
de_14_0000001,,
de_15_0000001,Federal authorities are to take linguistic account of dissimilar gender identities in their publications.,[different→dissimilar; Δnet=-1.00]
de_16_0000001,,
de_17_0000001,,
de_18_0000001,,
