idx,clean_pol,corrupt_pol,patched_pol,flipped,unflipped,restoration
1,pos,neg,neg,True,False,0.08984375
2,neg,pos,pos,True,False,0.10546875
3,pos,neg,neg,True,False,0.15234375
4,neg,pos,pos,True,False,0.1328125
5,pos,neg,neg,True,False,0.1484375
6,pos,neg,neg,True,False,0.0546875
7,pos,neg,neg,True,False,0.0
8,pos,neg,neg,True,False,0.05859375
9,pos,neg,neg,True,False,0.0390625
10,pos,neg,neg,True,False,0.16796875
11,pos,neg,neg,True,False,0.14453125
12,neg,pos,pos,True,False,0.1953125
13,neg,pos,pos,True,False,0.0
14,pos,neg,neg,True,False,0.1015625
15,pos,neg,neg,True,False,0.2265625
16,pos,neg,neg,True,False,0.0625
17,pos,neg,neg,True,False,0.09765625
18,pos,pos,pos,False,False,-0.3671875
19,neg,neg,neg,False,False,0.22265625
20,pos,neg,neg,True,False,0.0859375
21,pos,neg,neg,True,False,0.06640625
22,pos,neg,neg,True,False,0.02734375
23,pos,neg,neg,True,False,0.125
24,pos,neg,neg,True,False,0.11328125
25,pos,neg,neg,True,False,0.06640625
26,pos,neg,neg,True,False,0.140625
27,pos,neg,neg,True,False,0.12109375
28,pos,pos,pos,False,False,0.12109375
29,pos,neg,neg,True,False,0.0625
30,pos,neg,neg,True,False,0.1640625
31,pos,neg,neg,True,False,0.01953125
32,pos,neg,neg,True,False,0.29296875
33,pos,neg,neg,True,False,0.0546875
34,neg,pos,pos,True,False,0.12109375
35,pos,neg,neg,True,False,0.1328125
36,pos,neg,neg,True,False,0.109375
37,neg,pos,pos,True,False,0.28125
