idx,clean_pol,corrupt_pol,ab_pol,flipped,unflipped,restoration_to_clean
1,pos,pos,amb,True,True,0.34765625
2,pos,pos,pos,True,False,0.0859375
3,neg,neg,amb,True,True,0.4375
4,neg,neg,pos,True,True,0.640625
5,neg,neg,amb,True,True,0.4453125
6,neg,neg,amb,True,True,0.42578125
7,pos,pos,amb,True,True,0.296875
8,neg,neg,amb,True,True,0.265625
9,neg,neg,amb,True,True,0.08984375
10,neg,neg,amb,True,True,0.2578125
11,pos,pos,amb,True,True,0.16015625
12,neg,neg,pos,True,True,0.33203125
13,pos,pos,amb,True,True,0.28515625
14,pos,pos,amb,True,True,0.453125
15,pos,pos,pos,True,False,0.2265625
16,neg,neg,amb,True,True,0.3046875
17,pos,pos,amb,True,True,0.5546875
18,pos,pos,amb,True,True,0.1328125
19,pos,pos,pos,True,False,0.23046875
20,pos,pos,amb,True,True,0.4765625
21,pos,pos,amb,True,True,0.16796875
22,pos,pos,amb,True,True,0.34375
23,neg,neg,pos,True,True,0.55859375
24,pos,pos,amb,True,True,0.32421875
