idx,clean_pol,corrupt_pol,patched_pol,flipped,unflipped,restoration
1,pos,neg,neg,True,False,0.2578125
2,neg,pos,pos,True,False,0.21875
3,pos,neg,pos,True,True,0.49609375
4,neg,pos,pos,True,False,0.1171875
5,pos,neg,neg,True,False,0.296875
6,pos,neg,neg,True,False,0.25
7,pos,neg,neg,True,False,0.0
8,pos,neg,pos,True,True,0.16015625
9,pos,neg,pos,True,True,0.109375
10,pos,neg,neg,True,False,0.41796875
11,pos,neg,neg,True,False,0.1796875
12,neg,pos,pos,True,False,0.078125
13,neg,pos,pos,True,False,0.0
14,pos,neg,neg,True,False,0.36328125
15,pos,neg,neg,True,False,0.19921875
16,pos,neg,neg,True,False,0.2734375
17,pos,neg,neg,True,False,0.30078125
18,pos,pos,pos,False,False,-0.2421875
19,neg,neg,neg,False,False,-0.0859375
20,pos,neg,neg,True,False,0.0859375
21,pos,neg,neg,True,False,0.2890625
22,pos,neg,neg,True,False,0.00390625
23,pos,neg,neg,True,False,0.26171875
24,pos,neg,neg,True,False,0.0703125
25,pos,neg,neg,True,False,0.08984375
26,pos,neg,neg,True,False,0.21484375
27,pos,neg,neg,True,False,0.26953125
28,pos,pos,pos,False,False,-0.171875
29,pos,neg,neg,True,False,0.15234375
30,pos,neg,neg,True,False,-0.0234375
31,pos,neg,neg,True,False,0.05859375
32,pos,neg,pos,True,True,0.37890625
33,pos,neg,pos,True,True,0.19140625
34,neg,pos,pos,True,False,0.12109375
35,pos,neg,pos,True,True,0.40234375
36,pos,neg,neg,True,False,0.359375
37,neg,pos,pos,True,False,0.0
